residual_id,event_id,event_type,theories_all_missed,patterns_noted,flagged_at
a61c790c-ca15-4b,d1df2345e71f3956,ceo_turnover,True,,2026-06-21T17:24:55.410815Z
ca11a65e-f78b-49,e45c87e134103427,ceo_turnover,True,,2026-06-21T17:25:00.098773Z
2b63c108-056d-4f,e0b32f309f6294f5,ceo_turnover,True,,2026-06-21T17:25:21.528068Z
94a33659-e9b8-41,cf1795ec5a85b1ec,ceo_turnover,True,,2026-06-21T17:25:29.495088Z
83050d7a-d0e9-4d,002b0b8392613a8e,restructuring,True,,2026-06-22T03:53:10.396176Z
e84266e3-e7af-43,62e6350cc3bb1088,ceo_turnover,True,,2026-06-27T09:12:05.465578Z
a5952235-0848-4e,b04c8a05dfb0e918,ceo_turnover,True,,2026-06-27T09:12:10.478687Z
6f662b48-1289-46,1c9c1b67ffb62a8d,ceo_turnover,True,,2026-07-07T04:33:01.762548Z
5934c627-9275-47,9279fb14ddf83e1b,ceo_turnover,True,,2026-07-18T03:41:48.153650Z
